x,y,r,b
1439, 3835, 17, 235
1625, 3302, 11, 248
1362, 3161, 10, 251
782, 2917, 6, 250
2173, 2899, 6, 216
700, 2878, 6, 246
1260, 2825, 5, 238
796, 2575, 5, 239
2251, 2555, 3, 195
2139, 2520, 9, 246
1704, 2514, 1, 180
150, 2474, 6, 250
1894, 2414, 6, 243
1518, 2397, 6, 248
1654, 2265, 1, 180
2371, 2208, 6, 244
564, 2096, 7, 246
1487, 2079, 5, 229
1624, 2036, 7, 254
509, 2015, 7, 251
2938, 1971, 5, 243
841, 1664, 4, 208
2794, 1647, 8, 250
2433, 1617, 4, 234
1159, 1597, 7, 243
1037, 1538, 5, 159
2804, 1518, 6, 243
128, 1427, 6, 241
2128, 1358, 5, 249
1950, 1305, 4, 194
1546, 1271, 5, 247
798, 1271, 6, 252
472, 1226, 6, 245
422, 1167, 9, 247
2759, 1034, 5, 212
761, 841, 2, 184
1691, 434, 16, 252
1462, 256, 18, 241
