x,y,r,b
278, 3990, 18, 246
1331, 3428, 9, 245
1781, 3279, 6, 237
1939, 3259, 8, 250
1781, 3229, 9, 253
1319, 3148, 3, 176
1699, 3091, 4, 186
2030, 3078, 15, 253
1033, 3069, 11, 249
1374, 3023, 2, 170
589, 2947, 9, 233
856, 2864, 13, 250
1622, 2754, 5, 221
550, 2714, 5, 240
2472, 2647, 7, 250
1931, 2642, 11, 250
1991, 2639, 5, 194
1510, 2637, 8, 246
738, 2582, 4, 250
221, 2527, 4, 203
703, 2439, 7, 232
2179, 2413, 4, 190
713, 2334, 7, 254
588, 2247, 6, 244
1817, 2243, 3, 211
370, 2108, 10, 252
893, 2084, 8, 248
1383, 2045, 5, 252
165, 1978, 7, 240
2255, 1940, 5, 210
1700, 1897, 1, 180
2258, 1867, 4, 209
674, 1795, 5, 191
792, 1606, 5, 240
1361, 1562, 11, 248
469, 1562, 6, 244
1105, 1478, 4, 204
1235, 1421, 1, 187
992, 1334, 6, 251
217, 1334, 3, 196
2558, 1011, 9, 252
2538, 944, 6, 241
2967, 819, 7, 242
1480, 634, 5, 249
174, 561, 5, 228
1987, 355, 7, 252
