x,y,r,b
2707, 3919, 10, 252
1447, 3760, 3, 187
1681, 3695, 8, 252
2104, 3594, 5, 230
844, 3414, 5, 250
575, 3381, 11, 253
2006, 3240, 2, 190
2953, 3141, 6, 241
1554, 2969, 4, 241
1649, 2634, 3, 169
1477, 2628, 5, 231
1628, 2500, 10, 245
1683, 2495, 3, 184
1872, 2480, 9, 249
35, 2372, 4, 234
1386, 1373, 5, 245
1519, 1344, 4, 204
714, 1298, 5, 252
2174, 1262, 5, 254
294, 896, 8, 238
2268, 872, 4, 191
1555, 540, 5, 245
