x,y,r,b
1391, 3731, 7, 190
1298, 3536, 10, 248
1908, 3360, 6, 210
318, 3276, 8, 246
2835, 3226, 11, 254
2438, 3032, 1, 180
1529, 2871, 1, 180
2305, 2774, 10, 251
1421, 2582, 4, 237
2136, 2504, 7, 248
2221, 2271, 8, 252
1653, 2213, 8, 252
2483, 2050, 4, 216
1865, 2020, 9, 249
1179, 1901, 7, 242
1401, 1787, 5, 252
2428, 1654, 7, 251
861, 1625, 8, 247
1497, 1374, 6, 251
2121, 1211, 5, 233
2218, 1182, 6, 236
2807, 1098, 4, 211
1323, 1041, 6, 254
1383, 1014, 5, 249
1485, 697, 6, 236
1905, 376, 8, 254
2999, 162, 7, 226
