x,y,r,b
2036, 4004, 9, 246
1034, 3896, 4, 191
909, 3835, 10, 202
1114, 3764, 5, 198
1317, 3751, 2, 182
2487, 3733, 10, 213
921, 3698, 13, 253
1295, 3478, 6, 214
1821, 3111, 8, 252
174, 3071, 12, 249
873, 2950, 3, 192
2246, 2938, 6, 229
2402, 2904, 10, 247
402, 2874, 8, 226
1127, 2856, 5, 185
1773, 2852, 5, 184
929, 2827, 5, 220
1493, 2802, 9, 251
2141, 2766, 5, 209
1065, 2729, 8, 241
2477, 2722, 15, 253
1299, 2630, 1, 192
861, 2628, 2, 187
217, 2598, 15, 250
997, 2516, 5, 232
1399, 2481, 2, 176
363, 2480, 4, 217
2025, 2451, 5, 246
1303, 2435, 4, 196
980, 2394, 4, 202
669, 2376, 4, 241
1899, 2350, 8, 237
632, 2319, 5, 209
2327, 2308, 11, 250
2389, 2300, 3, 183
745, 2265, 1, 183
2899, 2251, 5, 234
1100, 2244, 6, 254
1475, 2212, 4, 229
1094, 2143, 7, 249
967, 2074, 5, 229
744, 1966, 9, 246
559, 1885, 5, 237
1228, 1883, 8, 223
1700, 1783, 5, 232
553, 1739, 4, 230
980, 1626, 5, 184
753, 1425, 6, 242
1064, 1423, 6, 229
1389, 1381, 5, 242
1609, 1361, 4, 231
1627, 1296, 2, 211
1349, 1248, 5, 253
243, 1248, 8, 238
1420, 1134, 11, 254
1221, 1117, 7, 250
29, 1029, 18, 251
2824, 501, 7, 213
