x,y,r,b
1033, 3987, 9, 205
843, 3914, 7, 198
2247, 3852, 7, 185
2107, 3808, 1, 180
757, 3699, 5, 188
2573, 3693, 8, 198
2709, 3629, 1, 180
819, 3532, 10, 191
276, 3516, 16, 251
1307, 3510, 11, 246
866, 3482, 16, 254
2861, 3470, 9, 208
916, 3440, 10, 194
1947, 3392, 8, 197
109, 3265, 1, 180
1667, 3213, 6, 188
1057, 3212, 10, 229
1361, 3199, 15, 250
1213, 3169, 17, 255
1076, 3121, 17, 253
282, 2954, 3, 181
2028, 2898, 16, 253
1906, 2806, 10, 228
670, 2790, 8, 201
1618, 2752, 8, 200
142, 2692, 9, 200
1213, 2626, 7, 189
2131, 2491, 8, 198
2080, 2461, 11, 209
2532, 2434, 2, 181
2216, 2434, 3, 182
2162, 2434, 2, 182
2447, 2431, 1, 180
2075, 2405, 2, 182
2387, 2402, 2, 181
356, 2363, 2, 180
2264, 2356, 1, 180
2443, 2342, 2, 181
2046, 2340, 1, 180
2387, 2320, 1, 180
2201, 2308, 3, 182
1879, 2295, 2, 178
2480, 2290, 3, 180
2268, 2286, 6, 180
1953, 2285, 3, 181
1676, 2272, 1, 181
2357, 2270, 2, 180
1819, 2269, 1, 180
947, 2268, 2, 181
2180, 2258, 1, 180
2042, 2247, 1, 182
2287, 2232, 4, 179
1767, 2227, 3, 180
2422, 2223, 4, 181
1012, 2222, 4, 182
1867, 2219, 2, 180
1986, 2216, 2, 180
1211, 2215, 4, 182
2372, 2210, 4, 181
2119, 2209, 1, 180
2170, 2206, 2, 181
1623, 2205, 21, 246
1696, 2201, 2, 182
917, 2199, 1, 182
2233, 2189, 3, 183
2036, 2189, 2, 181
2289, 2178, 1, 180
767, 2177, 5, 180
1798, 2172, 2, 180
1746, 2167, 6, 180
1972, 2166, 2, 180
2172, 2156, 1, 180
1918, 2155, 5, 178
1625, 2152, 1, 180
1687, 2151, 9, 181
2108, 2140, 2, 182
2027, 2138, 3, 180
1850, 2124, 1, 181
1969, 2107, 2, 180
1559, 2104, 4, 181
887, 2104, 2, 183
1784, 2103, 2, 180
2176, 2099, 2, 180
1617, 2096, 1, 180
1918, 2093, 3, 181
2055, 2088, 2, 181
1505, 2079, 7, 185
2109, 2076, 1, 180
1363, 2059, 1, 180
1671, 2055, 2, 181
1446, 2051, 2, 182
1980, 2050, 4, 175
1790, 2048, 1, 180
1593, 2045, 1, 180
1311, 2039, 2, 181
2048, 2029, 2, 180
1518, 2029, 10, 187
1911, 2024, 2, 180
1241, 2016, 1, 180
1369, 2003, 3, 183
1445, 2001, 4, 184
1624, 1994, 4, 182
1675, 1991, 1, 180
2156, 1985, 7, 192
1569, 1974, 5, 183
1317, 1974, 5, 183
1880, 1973, 1, 180
1516, 1968, 1, 180
1783, 1954, 1, 182
1260, 1952, 1, 181
1427, 1951, 26, 184
1367, 1942, 1, 180
1722, 1941, 1, 180
1642, 1939, 4, 180
2945, 1935, 7, 188
1568, 1921, 1, 180
1312, 1921, 18, 184
1479, 1917, 1, 181
1152, 1908, 2, 181
1093, 1902, 2, 179
1230, 1900, 8, 183
1423, 1895, 3, 178
1371, 1887, 6, 184
1660, 1871, 2, 182
1315, 1870, 6, 180
1485, 1864, 1, 181
1538, 1861, 3, 182
1158, 1855, 4, 183
1591, 1852, 3, 185
1216, 1850, 29, 179
1393, 1836, 22, 180
748, 1832, 1, 181
1286, 1820, 8, 191
1453, 1814, 8, 184
1506, 1811, 1, 180
1103, 1804, 3, 178
1581, 1802, 1, 183
1161, 1802, 4, 182
1636, 1801, 5, 181
1211, 1799, 2, 180
940, 1795, 12, 211
1706, 1793, 3, 182
1337, 1786, 10, 193
1286, 1768, 1, 180
1387, 1764, 5, 184
1502, 1760, 6, 181
1444, 1759, 14, 181
1231, 1749, 1, 180
1109, 1749, 3, 179
1561, 1745, 2, 180
1178, 1739, 8, 186
991, 1734, 2, 180
1045, 1732, 3, 180
1336, 1718, 5, 182
1387, 1712, 9, 182
1466, 1709, 16, 186
1271, 1699, 12, 185
1117, 1699, 1, 180
1197, 1689, 8, 178
1534, 1683, 1, 180
1055, 1679, 1, 182
1331, 1668, 12, 179
1422, 1658, 6, 186
1280, 1648, 1, 181
1113, 1639, 2, 182
1181, 1638, 5, 179
1353, 1618, 13, 178
1434, 1605, 4, 182
1061, 1600, 2, 180
853, 1600, 1, 180
1272, 1597, 8, 176
1149, 1586, 2, 180
1199, 1583, 4, 180
1374, 1562, 2, 180
1266, 1547, 5, 180
1324, 1535, 2, 182
1080, 1534, 3, 184
1144, 1533, 2, 180
984, 1525, 1, 181
2054, 1486, 3, 178
996, 1473, 4, 185
1210, 1467, 1, 180
1138, 1466, 1, 181
1049, 1464, 1, 181
1941, 1434, 2, 180
1053, 1412, 2, 180
858, 1410, 7, 183
969, 1394, 2, 181
2733, 1387, 1, 180
1028, 1359, 1, 180
866, 1359, 1, 183
956, 1319, 2, 185
895, 1261, 2, 180
1128, 1098, 2, 182
2849, 983, 7, 203
1363, 819, 6, 178
2615, 816, 11, 244
1312, 810, 11, 253
1728, 747, 17, 253
2202, 683, 8, 216
2494, 651, 12, 242
221, 125, 13, 246
267, 60, 7, 188
2438, 21, 13, 249
