x,y,r,b
1826, 3996, 6, 216
1712, 3792, 10, 254
714, 3551, 8, 249
2871, 3189, 9, 250
1890, 3079, 2, 180
2705, 2935, 11, 243
1754, 2785, 6, 237
648, 2752, 5, 207
2495, 2661, 6, 236
2562, 2409, 8, 250
1961, 2390, 9, 254
2161, 2178, 8, 240
2815, 2160, 4, 200
1461, 2111, 5, 247
1154, 2072, 1, 183
1670, 1982, 5, 251
1135, 1869, 7, 234
179, 1801, 4, 214
2715, 1759, 7, 223
1813, 1758, 1, 180
471, 1714, 2, 182
1733, 1567, 7, 248
1552, 1484, 4, 184
2350, 1345, 6, 245
2446, 1307, 7, 253
1539, 1265, 5, 250
1594, 1232, 5, 239
1670, 921, 5, 243
2539, 885, 2, 183
1266, 885, 5, 243
2058, 566, 7, 246
2717, 7, 7, 251
736, 3, 13, 250
