### Correlation ###
1614, 1221, 1, 202 => 1821, 1369, 1, 202
101, 1216, 3, 240 => 443, 1463, 3, 240
527, 1197, 4, 227 => 830, 1418, 4, 227
1089, 1189, 2, 187 => 1341, 1374, 2, 187
1453, 1180, 7, 255 => 1672, 1342, 7, 255
752, 1178, 3, 217 => 1033, 1386, 3, 217
157, 1166, 2, 158 => 491, 1414, 2, 158
584, 1162, 3, 194 => 879, 1383, 3, 194
1219, 1150, 3, 188 => 1457, 1330, 3, 188
225, 1148, 3, 253 => 551, 1393, 3, 253
880, 1142, 7, 255 => 1148, 1345, 7, 255
1888, 1134, 10, 255 => 2065, 1272, 10, 255
1563, 1131, 3, 203 => 1769, 1290, 3, 203
728, 1111, 2, 184 => 1007, 1327, 2, 184
1030, 1109, 3, 223 => 1282, 1305, 3, 223
1185, 1097, 2, 202 => 1422, 1284, 2, 202
1296, 1081, 2, 193 => 1522, 1262, 2, 193
162, 1078, 2, 255 => 489, 1334, 2, 255
580, 1072, 2, 184 => 870, 1301, 2, 184
367, 1058, 4, 255 => 675, 1302, 4, 255
1812, 1055, 4, 255 => 1991, 1205, 4, 255
673, 1050, 4, 255 => 953, 1275, 4, 255
1355, 1033, 3, 200 => 1573, 1215, 3, 200
906, 1019, 3, 195 => 1163, 1231, 3, 195
280, 1014, 3, 202 => 593, 1268, 3, 202
1542, 1012, 9, 252 => 1742, 1183, 9, 252
522, 1002, 9, 245 => 812, 1241, 9, 245
1420, 1001, 5, 255 => 1630, 1181, 5, 255
709, 995, 5, 245 => 982, 1222, 5, 245
342, 977, 5, 240 => 647, 1230, 5, 240
191, 973, 5, 255 => 509, 1236, 5, 255
1198, 963, 3, 200 => 1425, 1161, 3, 200
1139, 940, 6, 255 => 1370, 1144, 6, 255
1637, 933, 3, 255 => 1823, 1105, 3, 255
474, 920, 9, 249 => 763, 1169, 9, 249
1313, 909, 6, 245 => 1527, 1104, 6, 245
360, 900, 2, 202 => 658, 1159, 2, 202
72, 893, 5, 240 => 395, 1171, 5, 240
1144, 887, 5, 255 => 1371, 1095, 5, 255
439, 870, 5, 250 => 728, 1126, 5, 250
1383, 867, 3, 234 => 1588, 1062, 3, 234
1215, 866, 3, 211 => 1435, 1072, 3, 211
234, 865, 2, 200 => 541, 1135, 2, 200
627, 855, 3, 217 => 898, 1100, 3, 217
775, 838, 6, 231 => 1032, 1075, 6, 231
388, 833, 4, 249 => 679, 1096, 4, 249
1891, 788, 3, 230 => 2045, 956, 3, 230
355, 771, 2, 158 => 645, 1041, 2, 158
574, 770, 2, 196 => 844, 1026, 2, 196
1669, 765, 4, 244 => 1841, 950, 4, 244
1215, 763, 9, 232 => 1428, 978, 9, 232
298, 759, 2, 184 => 592, 1034, 2, 184
