### Correlation ###
206, 754, 3, 255 => 508, 1036, 3, 255
1542, 744, 2, 205 => 1724, 939, 2, 205
1057, 744, 5, 243 => 1283, 971, 5, 243
1770, 740, 2, 194 => 1932, 921, 2, 194
1110, 736, 2, 197 => 1330, 960, 2, 197
8, 716, 3, 227 => 325, 1014, 3, 227
900, 711, 3, 194 => 1138, 951, 3, 194
1221, 701, 4, 247 => 1429, 921, 4, 247
1605, 679, 5, 255 => 1778, 876, 5, 255
126, 673, 3, 203 => 430, 967, 3, 203
353, 653, 3, 241 => 636, 934, 3, 241
693, 652, 3, 205 => 945, 911, 3, 205
425, 635, 2, 198 => 700, 913, 2, 198
1192, 627, 3, 212 => 1398, 856, 3, 212
578, 614, 3, 250 => 838, 884, 3, 250
1476, 593, 3, 189 => 1654, 806, 3, 189
984, 588, 5, 255 => 1206, 834, 5, 255
133, 571, 5, 248 => 430, 874, 5, 248
1310, 543, 2, 189 => 1500, 771, 2, 189
1242, 501, 2, 190 => 1435, 737, 2, 190
894, 489, 3, 210 => 1118, 749, 3, 210
301, 485, 4, 255 => 577, 785, 4, 255
38, 485, 3, 198 => 338, 802, 3, 198
1590, 483, 3, 211 => 1751, 698, 3, 211
1840, 473, 5, 255 => 1978, 673, 5, 255
533, 470, 3, 235 => 787, 756, 3, 235
966, 454, 2, 132 => 1181, 713, 2, 132
607, 446, 3, 208 => 853, 729, 3, 208
1499, 439, 9, 255 => 1665, 664, 9, 255
1279, 438, 3, 200 => 1465, 678, 3, 200
909, 419, 8, 242 => 1127, 685, 8, 242
1735, 414, 4, 247 => 1879, 626, 4, 247
662, 401, 2, 191 => 900, 684, 2, 191
1074, 396, 4, 255 => 1275, 653, 4, 255
78, 375, 3, 202 => 367, 699, 3, 202
452, 357, 4, 232 => 706, 658, 4, 232
256, 355, 2, 205 => 528, 669, 2, 205
1138, 351, 3, 206 => 1331, 608, 3, 206
1377, 342, 5, 255 => 1548, 584, 5, 255
1821, 332, 4, 255 => 1952, 546, 4, 255
732, 332, 2, 255 => 960, 617, 2, 255
1225, 323, 3, 224 => 1408, 576, 3, 224
48, 314, 2, 202 => 336, 645, 2, 202
898, 299, 3, 213 => 1109, 576, 3, 213
959, 295, 9, 244 => 1164, 568, 9, 244
521, 285, 4, 255 => 764, 588, 4, 255
1430, 276, 4, 244 => 1592, 520, 4, 244
1614, 265, 3, 210 => 1759, 498, 3, 210
296, 264, 5, 255 => 558, 584, 5, 255
654, 258, 9, 255 => 884, 555, 9, 255
895, 244, 2, 191 => 1102, 526, 2, 191
1363, 241, 3, 181 => 1528, 493, 3, 181
481, 222, 2, 84 => 724, 533, 2, 84
1265, 197, 4, 255 => 1436, 459, 4, 255
1099, 183, 6, 255 => 1284, 457, 6, 255
684, 181, 2, 188 => 906, 483, 2, 188
1747, 171, 5, 255 => 1874, 404, 5, 255
1940, 169, 4, 237 => 2049, 389, 4, 237
246, 166, 4, 245 => 506, 498, 4, 245
1871, 162, 2, 197 => 1986, 388, 2, 197
1581, 157, 4, 239 => 1721, 402, 4, 239
774, 153, 9, 239 => 986, 451, 9, 239
103, 151, 3, 212 => 375, 493, 3, 212
1808, 131, 3, 221 => 1927, 363, 3, 221
1706, 117, 2, 183 => 1833, 357, 2, 183
1153, 113, 2, 188 => 1329, 390, 2, 188
1460, 106, 2, 194 => 1608, 363, 2, 194
796, 95, 3, 223 => 1002, 397, 3, 223
689, 88, 3, 237 => 905, 398, 3, 237
389, 81, 7, 255 => 631, 411, 7, 255
265, 74, 2, 199 => 517, 413, 2, 199
207, 67, 2, 199 => 464, 410, 2, 199
321, 62, 4, 255 => 568, 398, 4, 255
1853, 51, 4, 249 => 1962, 288, 4, 249
1783, 44, 2, 183 => 1898, 286, 2, 183
775, 30, 2, 193 => 979, 339, 2, 193
1458, 23, 2, 194 => 1601, 288, 2, 194
515, 17, 6, 255 => 741, 344, 6, 255
1150, 13, 4, 244 => 1320, 299, 4, 244
361, 10, 3, 237 => 601, 348, 3, 237
