### Correlation ###
1826, 3996, 6, 215 => 830, 1189, 6, 215
1712, 3792, 10, 251 => 793, 1106, 10, 251
714, 3551, 8, 253 => 412, 977, 8, 253
2871, 3189, 9, 253 => 1266, 911, 9, 253
1890, 3079, 2, 181 => 887, 834, 2, 181
2705, 2935, 10, 243 => 1210, 806, 10, 243
1754, 2785, 6, 242 => 844, 715, 6, 242
648, 2752, 5, 212 => 414, 663, 5, 212
2495, 2661, 6, 238 => 1137, 692, 6, 238
2562, 2409, 8, 251 => 1172, 596, 8, 251
1961, 2390, 9, 254 => 939, 568, 9, 254
2161, 2178, 8, 239 => 1024, 492, 8, 239
2815, 2160, 4, 200 => 1279, 508, 4, 200
1461, 2111, 5, 250 => 753, 442, 5, 250
1155, 2072, 1, 183 => 635, 416, 1, 183
1670, 1982, 5, 253 => 839, 399, 5, 253
1135, 1869, 7, 239 => 635, 336, 7, 239
179, 1801, 4, 212 => 264, 276, 4, 212
2715, 1759, 7, 224 => 1254, 348, 7, 224
1813, 1757, 1, 182 => 903, 316, 1, 182
470, 1713, 3, 188 => 381, 252, 3, 188
1742, 1594, 1, 180 => 881, 250, 1, 180
1552, 1484, 4, 189 => 810, 200, 4, 189
2350, 1345, 6, 244 => 1126, 174, 6, 244
2446, 1307, 7, 246 => 1165, 162, 7, 246
1539, 1265, 5, 253 => 813, 114, 5, 253
1594, 1232, 5, 237 => 836, 104, 5, 237
2539, 887, 1, 182 => 1216, 2, 1, 182
